model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,5,6,6,7,8,6,3,9,3,0,10	0.000142857	0.997929	<1e-06	>142.877
0,1,2,3,4,5,6,4,0,7,8,9,10,9,11,12	7.14286e-05	0.998	1e-06	71.4336
0,1,2,3,4,5,6,4,0,7,8,3,9,10,0,11	7.14286e-05	0.998071	<1e-06	>71.4336
0,1,2,3,4,5,6,4,4,7,6,8,9,3,10,11	7.14286e-05	0.998143	<1e-06	>71.4336
0,1,2,3,4,5,6,4,0,7,6,8,9,3,10,11	7.14286e-05	0.998214	<1e-06	>71.4336
0,1,2,3,4,5,6,4,7,8,9,10,3,10,7,11	7.14286e-05	0.998286	<1e-06	>71.4336
0,1,2,3,4,5,6,4,0,7,6,8,3,8,0,9	7.14286e-05	0.998357	<1e-06	>71.4336
0,1,2,3,4,5,6,4,4,7,6,8,3,9,0,10	7.14286e-05	0.998429	<1e-06	>71.4336
0,1,2,3,4,5,6,4,0,7,6,3,8,9,10,11	7.14286e-05	0.9985	<1e-06	>71.4336
0,1,2,3,4,5,6,6,7,8,9,3,10,3,0,11	7.14286e-05	0.998571	<1e-06	>71.4336
0,1,2,3,4,5,6,7,0,8,9,10,11,12,13,14	7.14286e-05	0.998643	0.002023	0.0352393
0,1,2,3,4,5,6,7,0,8,9,10,11,3,12,13	7.14286e-05	0.998714	1.5e-05	4.76217
0,1,2,3,4,5,6,7,4,8,6,9,3,10,0,11	7.14286e-05	0.998786	<1e-06	>71.4336
0,1,2,3,4,5,6,7,4,8,6,9,3,10,11,12	7.14286e-05	0.998857	<1e-06	>71.4336
0,1,2,3,4,5,6,7,0,8,9,10,3,11,0,12	7.14286e-05	0.998929	<1e-06	>71.4336
0,1,2,3,4,5,6,7,0,8,9,3,10,11,12,13	7.14286e-05	0.999	2.2e-05	3.24691
0,1,2,3,4,5,6,7,4,8,6,9,10,11,4,12	7.14286e-05	0.999071	<1e-06	>71.4336
0,1,2,3,4,5,6,7,0,8,6,9,3,9,0,10	7.14286e-05	0.999143	<1e-06	>71.4336
0,1,2,3,4,5,6,7,4,8,9,10,3,11,0,12	7.14286e-05	0.999214	<1e-06	>71.4336
0,1,2,3,4,5,6,7,4,8,9,10,3,11,12,13	7.14286e-05	0.999286	5e-06	14.2867
0,1,2,3,4,5,6,4,4,7,8,3,9,10,11,12	7.14286e-05	0.999357	<1e-06	>71.4336
0,1,2,3,4,5,6,6,7,8,6,3,9,3,10,11	7.14286e-05	0.999429	<1e-06	>71.4336
0,1,2,3,4,5,6,4,7,8,9,10,11,3,7,12	7.14286e-05	0.9995	<1e-06	>71.4336
0,1,2,3,4,5,6,4,7,8,9,10,3,11,7,12	7.14286e-05	0.999571	<1e-06	>71.4336
0,1,2,3,4,5,6,7,7,8,6,3,9,10,0,11	7.14286e-05	0.999643	<1e-06	>71.4336
0,1,2,3,4,5,6,7,7,8,6,9,10,9,11,12	7.14286e-05	0.999714	<1e-06	>71.4336
0,1,2,3,4,5,6,7,7,8,6,9,10,11,0,12	7.14286e-05	0.999786	<1e-06	>71.4336
0,1,2,3,4,5,6,7,4,8,6,3,9,3,4,10	7.14286e-05	0.999857	<1e-06	>71.4336
0,1,2,3,4,5,6,4,7,8,6,9,3,9,10,11	7.14286e-05	0.999929	<1e-06	>71.4336
0,1,2,3,4,5,6,7,8,9,6,10,3,11,8,12	7.14286e-05	1	1e-06	71.4336
